model,image_attack,sketch_attack,Clean_IM_Loss,FGSM_IM_Loss,BIM_IM_Loss,Clean_SK_Loss,FGSM_SK_Loss,BIM_SK_Loss,Clean_LA_Loss,FGSM_LA_Loss,BIM_LA_Loss
3V,True,True,0.014524284994410523,0.23982714689361884,0.18142387966068374,0.05912861400370648,0.07458570094263324,0.06679666760651362,0.0015396105231229899,0.03869748620810195,0.010140436925207785
3V,True,True,0.015393358734475398,0.22088646447010027,0.16520205255509451,0.05967932649242995,0.07409802250026853,0.0662345509138546,0.0009967463971454254,0.01532879487943465,0.006447181025965532
3V,True,True,0.014677115048933057,0.22415082164445466,0.16680637781600918,0.0565699019477084,0.07146550442939376,0.06375203766968117,0.0013100464596638118,0.04345363444330432,0.008813841734673908
3V,True,True,0.015957577874414944,0.24251351028601795,0.18291230390302984,0.05741115929992255,0.07212286369050239,0.06461196471404079,0.0017881343336061976,0.037314662970200696,0.008807566734590737
3V,True,True,0.015271053899920528,0.24003093389081154,0.18109900704993134,0.058963263522523526,0.07411737146080831,0.06642726009677044,0.0010925303999849865,0.02908434454353256,0.008983251992661983
3V,True,True,0.01508160372603674,0.23921122789602123,0.18143756221594665,0.058845500380794016,0.07411669597170814,0.0666059550645835,0.0014227569813814447,0.03636193648464365,0.009137922657650137
3V,True,True,0.014580874832957358,0.24132557906395732,0.18335302100291084,0.05645655182156527,0.07122503132850237,0.06392491793459538,0.0027620468222664717,0.04261295624082691,0.014224027274859302
3V,True,True,0.014447007679951596,0.2550371835633237,0.19248937110914804,0.05647276663258632,0.07184708312297222,0.06432264714298885,0.0013399973216239088,0.0572863948967119,0.013637047676664729
3V,True,True,0.015436032351677339,0.2259969912465544,0.1667982288435939,0.058051018287050234,0.07280775124767415,0.0648588938077715,0.0026048562726700077,0.023055981762708115,0.00979904908729754
3V,True,True,0.01631298690059443,0.24842451362470663,0.19041811129003144,0.05784708826451134,0.07214862672786633,0.06510365023844261,0.003362265089800265,0.04142283010637573,0.0138978879154019
3V,True,False,0.014524284994410523,0.2398563615590162,0.18136697759368953,0.05912861400370648,0.06229205720424963,0.061466890198634425,0.0015396105231229899,0.03960116179138226,0.009716402010415829
