model,image_attack,sketch_attack,Clean_IM_Loss,ADV_IM_Loss,Clean_SK_Loss,FGSM_SK_Loss,Clean_LA_Loss,FGSM_LA_Loss
1V,True,False,0.012068700894641026,0.0137475350775267,,,,
1V,True,False,0.011992196984152834,0.0137475350775267,,,,
1V,True,False,0.011486564849018803,0.0137475350775267,,,,
1V,True,False,0.012184465834403866,0.0137475350775267,,,,
1V,True,False,0.011993280475636837,0.0137475350775267,,,,
1V,True,False,0.011452593311918443,0.0137475350775267,,,,
1V,True,False,0.011324987160229366,0.0137475350775267,,,,
1V,True,False,0.011503091562952029,0.0137475350775267,,,,
1V,True,False,0.012170697155757002,0.0137475350775267,,,,
1V,True,False,0.012688084214673961,0.0137475350775267,,,,
