model,Clean_IM_Loss,BIM_IM_Loss,Clean_LA_Loss,BIM_LA_Loss
1V,0.0072755420581899,0.08668309958555581,,
1V,0.007287834238241677,0.09685003225697397,,
1V,0.00791400707393221,0.07839843456897906,,
1V,0.008287397251474002,0.0914465690301331,,
1V,0.0076020626549593755,0.08185099467660979,,
1V,0.007812372618629976,0.09029950107823548,,
1V,0.007724131508667311,0.10296880388701567,,
1V,0.00815465477525668,0.10799349769218422,,
1V,0.00812732717204954,0.11623530628619695,,
1V,0.007930034846574181,0.007930034846574181,,
2V,0.008121982915116472,0.07363141623952543,1.9393719549512278,2.911136419358014
2V,0.008008582831135442,0.07141007815449874,2.068494462245758,3.715800115575447
2V,0.00879035075988784,0.10610420607946719,1.8866120971355396,4.234947135956525
2V,0.009457063920234262,0.08809584757717769,1.8814762548839594,4.452343465387417
2V,0.008347725538468595,0.08952398999457178,1.8759142864326301,4.420162469381877
2V,0.009107134923605306,0.07369733490301815,1.7956540114351744,4.047774516043923
2V,0.008663808066923953,0.12978008013495368,1.8736319511285437,6.031689462946062
2V,0.009877263638501155,0.09368690091702703,1.8959733138338943,4.9336853398280365
2V,0.00884347861691642,0.0927468611174547,1.7634198533094754,3.0645542238297803
2V,0.008913471498687119,0.008913471498687119,1.6757098047504713,1.6757098047504713
