model,Clean_IM_Loss,FGSM_IM_Loss,Clean_LA_Loss,FGSM_LA_Loss
1V,0.0072755420581899,0.0072755420581899,,
1V,0.007287834238241677,0.07534080546507281,,
1V,0.00791400707393221,0.10682287869908348,,
1V,0.008287397251474002,0.07634336955620609,,
1V,0.0076020626549593755,0.06818821737607964,,
1V,0.007812372618629976,0.07506513981344473,,
1V,0.007724131508667311,0.10997849651387775,,
1V,0.00815465477525668,0.0741301306806291,,
1V,0.00812732717204954,0.1194431644475743,,
1V,0.007930034846574181,0.06425397404873495,,
2V,0.008121982915116472,0.008121982915116472,1.9393719549512278,1.9393719549512278
2V,0.008008582831135442,0.06956052660293324,2.068494462245758,3.43396756144861
2V,0.00879035075988784,0.10637054372958121,1.8866120971355396,5.651242533262169
2V,0.009457063920234262,0.08768957700755191,1.8814762548839594,4.624101370467695
2V,0.008347725538468595,0.08992633260992491,1.8759142864326301,4.090902931160074
2V,0.009107134923605306,0.10413519140447242,1.7956540114351744,4.7380635870000045
2V,0.008663808066923953,0.12087894833149483,1.8736319511285437,4.61570453196012
2V,0.009877263638501155,0.09365180381550335,1.8959733138338943,4.283177428255467
2V,0.00884347861691642,0.08069419492852363,1.7634198533094754,3.764873192741845
2V,0.008913471498687119,0.12804179860391401,1.6757098047504713,4.914477477349099
