model,image_attack,sketch_attack,Clean_IM_Loss,ADV_IM_Loss,Clean_SK_Loss,FGSM_SK_Loss,Clean_LA_Loss,FGSM_LA_Loss
2V,True,False,0.0072755420581899,0.008945206520677429,,,,
2V,True,False,0.0072878342382416,0.00884879620099145,,,,
2V,True,False,0.0079140070739322,0.009782373566164565,,,,
2V,True,False,0.0082873972514740,0.010235220583133723,,,,
2V,True,False,0.0076020626549593,0.008806600631215291,,,,
2V,True,False,0.0078123726186299,0.00941167921507504,,,,
2V,True,False,0.0077241315086673,0.009624320812414358,,,,
2V,True,False,0.0081546547752566,0.010067230257255819,,,,
2V,True,False,0.0081273271720495,0.009204657655429832,,,,
2V,True,False,0.0079300348465741,0.009652509728842113,,,,
