model,Clean_TEXT_Loss,ADV_TEXT_Loss,Clean_SENT_Loss,ADV_SENT_Loss,Clean_LEN_Loss,ADV_LEN_Loss
1V,0.004996260162442923,462.3138732910156,,,,
1V,0.0,293.76324462890625,,,,
1V,0.0,460.2127990722656,,,,
1V,0.0,484.88861083984375,,,,
1V,0.0,333.1259765625,,,,
1V,0.05341446399688721,362.3360290527344,,,,
2V-TS,0.0,506.146728515625,0.21295112371444702,0.5210621356964111,,
2V-TS,0.0,466.0829162597656,0.28267794847488403,0.5783223509788513,,
2V-TS,0.0006112432456575334,422.3526611328125,0.29457008838653564,0.6017305850982666,,
2V-TS,0.0,394.6011047363281,0.31259092688560486,0.7266135215759277,,
2V-TS,0.0,423.5835876464844,0.26547327637672424,0.5654253959655762,,
2V-TS,0.00585305318236351,456.41375732421875,0.21726928651332855,0.4821602702140808,,
2V-TL,2.9513560484417667e-09,364.4599304199219,,,0.01770453341305256,0.08768429607152939
2V-TL,0.0,369.2434997558594,,,0.017809752374887466,0.09086091071367264
2V-TL,0.0,416.58612060546875,,,0.017022520303726196,0.09872554242610931
2V-TL,0.0,350.3942565917969,,,0.01458672434091568,0.08951239287853241
2V-TL,0.0005674454150721431,405.2523498535156,,,0.016931068152189255,0.08899251371622086
2V-TL,0.0,365.4624328613281,,,0.016228269785642624,0.09982698410749435
3V,0.0,366.7930908203125,0.05035388842225075,0.27581655979156494,0.02278153970837593,0.11015969514846802
3V,0.0,441.1557922363281,0.04737047851085663,0.33617016673088074,0.023244064301252365,0.11291429400444031
3V,0.0,493.55694580078125,0.07053062319755554,0.31622886657714844,0.023214945569634438,0.11265464127063751
3V,0.0,430.8866882324219,0.04689335450530052,0.3280029296875,0.021548356860876083,0.10897373408079147
3V,9.492319819059958e-09,418.0528869628906,0.047968797385692596,0.32746368646621704,0.0221492238342762,0.10445879399776459
3V,0.0,445.2630615234375,0.03616286441683769,0.3258986175060272,0.02293364889919758,0.11084895581007004
